UNNR;PROPER SHIPPING NAME;HAZARD CLASS;PG
473;SUBSTANCES, EXPLOSIVE, N.O.S.;1.1A;II
474;SUBSTANCES, EXPLOSIVE, N.O.S.;1.1C;II
475;SUBSTANCES, EXPLOSIVE, N.O.S.;1.1D;II
476;SUBSTANCES, EXPLOSIVE, N.O.S.;1.1G;II
477;SUBSTANCES, EXPLOSIVE, N.O.S.;1.3C;II
478;SUBSTANCES, EXPLOSIVE, N.O.S.;1.3G;II
479;SUBSTANCES, EXPLOSIVE, N.O.S.;1.4C;II
480;SUBSTANCES, EXPLOSIVE, N.O.S.;1.4D;II
481;SUBSTANCES, EXPLOSIVE, N.O.S.;1.4S;II
482;SUBSTANCES, EXPLOSIVE, VERY INSENSITIVE, N.O.S., OR SUBSTANCES, EVI, N.O.S.;1.5D;II
483;CYCLOTRIMETHYLENETRINITRAMINE, DESENSITIZED OR CYCLONITE, DESENSITIZED OR  HEXOGEN, DESENSITIZED OR RDX, DESENSITIZED;1.1D;II
484;CYCLOTETRAMETHYLENETETRANITRAMINE, DESENSITIZED OR OCTOGEN, DESENSITIZED OR HMX, DESENSITIZED;1.1D;II
485;SUBSTANCES, EXPLOSIVE, N.O.S.;1.4G;II
486;ARTICLES, EXPLOSIVE, EXTREMELY INSENSITIVE OR ARTICLES, EEI;1.6N;II
487;SIGNALS, SMOKE;1.3G;II
488;AMMUNITION, PRACTICE;1.3G;II
489;DINITROGLYCOLURIL OR DINGU;1.1D;II
490;NITROTRIAZOLONE OR NTO;1.1D;II
491;CHARGES, PROPELLING;1.4C;II
492;SIGNALS, RAILWAY TRACK, EXPLOSIVE;1.3G;
493;SIGNALS, RAILWAY TRACK, EXPLOSIVE;1.4G;
494;JET PERFORATING GUNS, CHARGED OIL WELL, WITH DETONATOR;1.4D;II
494;JET PERFORATING GUNS, CHARGED, OIL WELL, WITHOUT DETONATOR;1.4D;II
495;PROPELLANT, LIQUID;1.3C;II
496;OCTONAL;1.1D;
497;PROPELLANT, LIQUID;1.1C;II
498;PROPELLANT, SOLID;1.1C;II
499;PROPELLANT, SOLID;1.3C;II
500;DETONATOR ASSEMBLIES, NON-ELECTRIC, FOR BLASTING;1.4S;II
501;PROPELLANT, SOLID;1.4C;II
502;ROCKETS, WITH INERT HEAD;1.2C;
503;AIR BAG INFLATORS, OR AIR BAG MODULES, OR SEAT-BELT PRETENSIONERS;1.4G;II
504;1H-TETRAZOLE;1.1D;
505;SIGNALS, DISTRESS, SHIP;1.4G;
506;SIGNALS, DISTRESS, SHIP;1.4S;
507;SIGNALS, SMOKE;1.4S;
508;1-HYDROXYBENZOTRIAZOLE, ANHYDROUS, DRY OR WETTED WITH LESS THAN 20 PERCENT WATER, BY MASS;1.3C;
509;POWDER, SMOKELESS;1.4C;II
1001;ACETYLENE, DISSOLVED;2.1;
1002;AIR, COMPRESSED;2.2;
1003;AIR, REFRIGERATED LIQUID, (CRYOGENIC LIQUID);2.2;
1003;AIR, REFRIGERATED LIQUID, (CRYOGENIC LIQUID) NON-PRESSURIZED;2.2;
1005;AMMONIA, ANHYDROUS;2.2;
1005;AMMONIA, ANHYDROUS;2.3;
1006;ARGON, COMPRESSED;2.2;
1008;BORON TRIFLUORIDE;2.3;
1009;BROMOTRIFLUOROMETHANE OR  REFRIGERANT GAS, R 13B1;2.2;
1010;BUTADIENES, STABILIZED OR BUTADIENES AND HYDROCARBON MIXTURE, STABILIZED, CONTAINING MORE THAN 40% BUTADIENES;2.1;
1011;BUTANE SEE ALSO PETROLEUM GASES, LIQUEFIED;2.1;
1012;BUTYLENE SEE ALSO PETROLEUM GASES, LIQUEFIED;2.1;
1013;CARBON DIOXIDE;2.2;
1016;CARBON MONOXIDE, COMPRESSED;2.3;
1017;CHLORINE;2.3;
1018;CHLORODIFLUOROMETHANE OR   REFRIGERANT GAS R 22;2.2;
1020;CHLOROPENTAFLUOROETHANE OR  REFRIGERANT GAS R 115;2.2;
1021;1-CHLORO-1,2,2,2-TETRAFLUOROETHANE OR  REFRIGERANT GAS R 124;2.2;
1022;CHLOROTRIFLUOROMETHANE OR  REFRIGERANT GAS R 13;2.2;
1023;COAL GAS, COMPRESSED;2.3;
1026;CYANOGEN;2.3;
1027;CYCLOPROPANE;2.1;
1028;DICHLORODIFLUOROMETHANE OR  REFRIGERANT GAS R 12;2.2;
1029;DICHLOROFLUOROMETHANE OR  REFRIGERANT GAS R21;2.2;
1030;1,1-DIFLUOROETHANE OR REFRIGERANT GAS R 152A;2.1;
1032;DIMETHYLAMINE, ANHYDROUS;2.1;
1033;DIMETHYL ETHER;2.1;
1035;ETHANE;2.1;
1036;ETHYLAMINE;2.1;
1037;ETHYL CHLORIDE;2.1;
1038;ETHYLENE, REFRIGERATED LIQUID (CRYOGENIC LIQUID);2.1;
1039;ETHYL METHYL ETHER;2.1;
1040;ETHYLENE OXIDE OR ETHYLENE OXIDE WITH NITROGEN UP TO A TOTAL PRESSURE OF 1MPA (10 BAR) AT 50 DEGREES C;2.3;
1041;ETHYLENE OXIDE AND CARBON DIOXIDE MIXTURES WITH MORE THAN 9 PERCENT BUT NOT MORE THAN 87 PERCENT ETHYLENE OXIDE;2.1;
1043;FERTILIZER AMMONIATING SOLUTION WITH FREE AMMONIA ;2.2;
1044;FIRE EXTINGUISHERS CONTAINING COMPRESSED OR LIQUEFIED GAS;2.2;
1045;FLUORINE, COMPRESSED;2.3;
1046;HELIUM, COMPRESSED;2.2;
1048;HYDROGEN BROMIDE, ANHYDROUS;2.3;
1049;HYDROGEN, COMPRESSED;2.1;
1049;HYDROGEN, COMPRESSED;2.1;
1050;HYDROGEN CHLORIDE, ANHYDROUS;2.3;
1051;HYDROGEN CYANIDE, STABILIZED WITH LESS THAN 3 PERCENT WATER;6.1;I
1052;HYDROGEN FLUORIDE, ANHYDROUS;8;I
1053;HYDROGEN SULFIDE;2.3;
1055;ISOBUTYLENE SEE ALSO PETROLEUM GASES, LIQUEFIED;2.1;
1056;KRYPTON, COMPRESSED;2.2;
1057;LIGHTERS, NON-PRESSURIZED, CONTAINING FLAMMABLE LIQUID;3;II
1057;LIGHTER REFILLS CONTAINING FLAMMABLE GAS NOT EXCEEDING 4 FLUID OUNCES (7.22 CUBIC INCHES) AND 65 GRAMS OF FLAMMABLE GAS;2.1;
1057;LIGHTER REFILLS CONTAINING FLAMMABLE GAS NOT EXCEEDING 4 FLUID OUNCES (7.22 CUBIC INCHES) AND 65 GRAMS OF FLAMMABLE GAS;2.1;
1057;LIGHTERS CONTAINING FLAMMABLE GAS;2.1;
1058;LIQUEFIED GASES, NON-FLAMMABLE CHARGED WITH NITROGEN, CARBON DIOXIDE OR AIR;2.2;
1060;METHYL ACETYLENE AND PROPADIENE MIXTURES, STABILIZED;2.1;
1061;METHYLAMINE, ANHYDROUS;2.1;
1062;METHYL BROMIDE;2.3;
1063;METHYL CHLORIDE, OR REFRIGERANT GAS R 40;2.1;
1064;METHYL MERCAPTAN;2.3;
1065;NEON, COMPRESSED;2.2;
1066;NITROGEN, COMPRESSED;2.2;
1067;DINITROGEN TETROXIDE;2.3;
1069;NITROSYL CHLORIDE;2.3;
1070;NITROUS OXIDE;2.2;
1071;OIL GAS, COMPRESSED;2.3;
1072;OXYGEN, COMPRESSED;2.2;
1072;OXYGEN, COMPRESSED;2.2;
1073;OXYGEN, REFRIGERATED LIQUID (CRYOGENIC LIQUID);2.2;
1075;PETROLEUM GASES, LIQUEFIED OR LIQUEFIED PETROLEUM GAS;2.1;
1076;PHOSGENE;2.3;
1077;PROPYLENE SEE ALSO PETROLEUM GASES, LIQUEFIED;2.1;
1078;REFRIGERANT GASES, N.O.S.;2.2;
1079;SULFUR DIOXIDE;2.3;
1080;SULFUR HEXAFLUORIDE;2.2;
1081;TETRAFLUOROETHYLENE, STABILIZED;2.1;
1082;TRIFLUOROCHLOROETHYLENE, STABILIZED;2.3;
1083;TRIMETHYLAMINE, ANHYDROUS;2.1;
1085;VINYL BROMIDE, STABILIZED;2.1;
1086;VINYL CHLORIDE, STABILIZED  ;2.1;
1087;VINYL METHYL ETHER, STABILIZED;2.1;
1088;ACETAL;3;II
1089;ACETALDEHYDE;3;I
1090;ACETONE;3;II
1091;ACETONE OILS;3;II
1092;ACROLEIN, STABILIZED;6.1;I
1093;ACRYLONITRILE, STABILIZED;3;I
1098;ALLYL ALCOHOL;6.1;I
1099;ALLYL BROMIDE;3;I
1100;ALLYL CHLORIDE;3;I
1104;AMYL ACETATES;3;III
1105;PENTANOLS;3;III
1105;PENTANOLS;3;II
1106;AMYLAMINES;3;III
1106;AMYLAMINES;3;II
1107;AMYL CHLORIDE;3;II
1108;1-PENTENE (N-AMYLENE);3;I
1109;AMYL FORMATES;3;III
1110;N-AMYL METHYL KETONE;3;III
1111;AMYL MERCAPTAN;3;II
1112;AMYL NITRATE;3;III
1113;AMYL NITRITE;3;II
1114;BENZENE;3;II
1120;BUTANOLS;3;III
1120;BUTANOLS;3;II
1123;BUTYL ACETATES;3;III
1123;BUTYL ACETATES;3;II
1125;N-BUTYLAMINE;3;II
1126;1-BROMOBUTANE;3;II
1127;CHLOROBUTANES;3;II
1128;N-BUTYL FORMATE;3;II
1129;BUTYRALDEHYDE;3;II
1130;CAMPHOR OIL;3;III
1131;CARBON DISULFIDE;3;I
1133;ADHESIVES, CONTAINING A FLAMMABLE LIQUID;3;III
1133;ADHESIVES, CONTAINING A FLAMMABLE LIQUID;3;I
1133;ADHESIVES, CONTAINING A FLAMMABLE LIQUID;3;II
1134;CHLOROBENZENE;3;III
1135;ETHYLENE CHLOROHYDRIN;6.1;I
1136;COAL TAR DISTILLATES, FLAMMABLE;3;III
1136;COAL TAR DISTILLATES, FLAMMABLE;3;II
1139;COATING SOLUTION (INCLUDES SURFACE TREATMENTS OR COATINGS USED FOR INDUSTRIAL OR OTHER PURPOSES SUCH AS VEHICLE UNDERCOATING, DRUM OR BARREL LINING);3;III
1139;COATING SOLUTION (INCLUDES SURFACE TREATMENTS OR COATINGS USED FOR INDUSTRIAL OR OTHER PURPOSES SUCH AS VEHICLE UNDERCOATING, DRUM OR BARREL LINING);3;II
1139;COATING SOLUTION (INCLUDES SURFACE TREATMENTS OR COATINGS USED FOR INDUSTRIAL OR OTHER PURPOSES SUCH AS VEHICLE UNDERCOATING, DRUM OR BARREL LINING);3;I
1143;CROTONALDEHYDE OR CROTONALDEHYDE, STABILIZED;6.1;I
1144;CROTONYLENE;3;I
1145;CYCLOHEXANE;3;II
1146;CYCLOPENTANE;3;II
1147;DECAHYDRONAPHTHALENE;3;III
1148;DIACETONE ALCOHOL;3;III
1148;DIACETONE ALCOHOL;3;II
1149;DIBUTYL ETHERS;3;III
1150;1,2-DICHLOROETHYLENE;3;II
1152;DICHLOROPENTANES;3;III
1153;ETHYLENE GLYCOL DIETHYL ETHER;3;II
1153;ETHYLENE GLYCOL DIETHYL ETHER;3;III
1154;DIETHYLAMINE;3;II
1155;DIETHYL ETHER OR ETHYL ETHER;3;I
1156;DIETHYL KETONE;3;II
1157;DIISOBUTYL KETONE;3;III
1158;DIISOPROPYLAMINE;3;II
1159;DIISOPROPYL ETHER;3;II
1160;DIMETHYLAMINE SOLUTION;3;II
1161;DIMETHYL CARBONATE;3;II
1162;DIMETHYLDICHLOROSILANE;3;II
1163;DIMETHYLHYDRAZINE, UNSYMMETRICAL;6.1;I
1164;DIMETHYL SULFIDE;3;II
1165;DIOXANE;3;II
1166;DIOXOLANE;3;II
1167;DIVINYL ETHER, STABILIZED;3;I
1169;EXTRACTS, AROMATIC, LIQUID;3;III
1169;EXTRACTS, AROMATIC, LIQUID;3;II
1170;ETHANOL  OR  ETHYL ALCOHOL  OR   ETHANOL SOLUTIONS  OR  ETHYL ALCOHOL SOLUTIONS;3;II
1170;ETHANOL OR  ETHYL ALCOHOL OR  ETHANOL SOLUTIONS  OR  ETHYL ALCOHOL SOLUTIONS;3;III
1171;ETHYLENE GLYCOL MONOETHYL ETHER;3;III
1172;ETHYLENE GLYCOL MONOETHYL ETHER ACETATE;3;III
1173;ETHYL ACETATE;3;II
1175;ETHYLBENZENE;3;II
1175;ETHYLBENZENE;3;II
1176;ETHYL BORATE;3;II
1177;2-ETHYLBUTYL ACETATE;3;III
1178;2-ETHYLBUTYRALDEHYDE;3;II
1179;ETHYL BUTYL ETHER;3;II
1180;ETHYL BUTYRATE;3;III
1181;ETHYL CHLOROACETATE;6.1;II
1182;ETHYL CHLOROFORMATE;6.1;I
1183;ETHYLDICHLOROSILANE;4.3;I
1184;ETHYLENE DICHLORIDE;3;II
1185;ETHYLENEIMINE, STABILIZED;6.1;I
1188;ETHYLENE GLYCOL MONOMETHYL ETHER;3;III
1189;ETHYLENE GLYCOL MONOMETHYL ETHER ACETATE;3;III
1190;ETHYL FORMATE;3;II
1191;OCTYL ALDEHYDES;3;III
1192;ETHYL LACTATE;3;III
1193;ETHYL METHYL KETONE OR  METHYL ETHYL KETONE;3;II
1194;ETHYL NITRITE SOLUTIONS;3;I
1195;ETHYL PROPIONATE;3;II
1196;ETHYLTRICHLOROSILANE;3;II
1197;EXTRACTS, FLAVORING, LIQUID;3;III
1197;EXTRACTS, FLAVORING, LIQUID;3;II
1198;FORMALDEHYDE SOLUTIONS, FLAMMABLE;3;III
1199;FURALDEHYDES;6.1;II
1201;FUSEL OIL;3;III
1201;FUSEL OIL;3;II
1202;DIESEL FUEL;3;III
1202;GAS OIL;3;III
1202;HEATING OIL, LIGHT;3;III
1203;GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL, WITH NOT MORE THAN 10% ALCOHOL;3;II
1204;NITROGLYCERIN SOLUTION IN ALCOHOL WITH NOT MORE THAN 1 PERCENT NITROGLYCERIN;3;II
1206;HEPTANES;3;II
1207;HEXALDEHYDE;3;III
1208;HEXANES;3;II
1210;PRINTING INK, FLAMMABLE OR PRINTING INK RELATED MATERIAL (INCLUDING PRINTING INK THINNING OR REDUCING COMPOUND), FLAMMABLE;3;III
1210;PRINTING INK, FLAMMABLE OR PRINTING INK RELATED MATERIAL (INCLUDING PRINTING INK THINNING OR REDUCING COMPOUND), FLAMMABLE;3;II
1210;PRINTING INK, FLAMMABLE OR PRINTING INK RELATED MATERIAL (INCLUDING PRINTING INK THINNING OR REDUCING COMPOUND), FLAMMABLE;3;I
1212;ISOBUTANOL OR  ISOBUTYL ALCOHOL;3;III
1213;ISOBUTYL ACETATE;3;II
1214;ISOBUTYLAMINE;3;II
1216;ISOOCTENES;3;II
1218;ISOPRENE, STABILIZED;3;I
1219;ISOPROPANOL OR  ISOPROPYL ALCOHOL;3;II
1220;ISOPROPYL ACETATE;3;II
1221;ISOPROPYLAMINE;3;I
1222;ISOPROPYL NITRATE;3;II
1223;KEROSENE;3;III
1224;KETONES, LIQUID, N.O.S.;3;III
1224;KETONES, LIQUID, N.O.S.;3;II
1224;KETONES, LIQUID, N.O.S.;3;I
1228;MERCAPTANS, LIQUID, FLAMMABLE, TOXIC, N.O.S. OR  MERCAPTAN MIXTURES, LIQUID, FLAMMABLE, TOXIC, N.O.S.;3;III
1228;MERCAPTANS, LIQUID, FLAMMABLE, TOXIC, N.O.S. OR  MERCAPTAN MIXTURES, LIQUID, FLAMMABLE, TOXIC, N.O.S.;3;II
1229;MESITYL OXIDE;3;III
1230;METHANOL;3;II
1230;METHANOL;3;II
1230;METHANOL;3;II
1231;METHYL ACETATE;3;II
1233;METHYLAMYL ACETATE;3;III
1234;METHYLAL;3;II
1235;METHYLAMINE, AQUEOUS SOLUTION;3;II
1237;METHYL BUTYRATE;3;II
1238;METHYL CHLOROFORMATE;6.1;I
1239;METHYL CHLOROMETHYL ETHER;6.1;I
1242;METHYLDICHLOROSILANE;4.3;I
1243;METHYL FORMATE;3;I
1244;METHYLHYDRAZINE;6.1;I
1245;METHYL ISOBUTYL KETONE;3;II
1246;METHYL ISOPROPENYL KETONE, STABILIZED;3;II
1247;METHYL METHACRYLATE MONOMER, STABILIZED;3;II
1248;METHYL PROPIONATE;3;II
1249;METHYL PROPYL KETONE;3;II
1250;METHYLTRICHLOROSILANE;3;II
1251;METHYL VINYL KETONE, STABILIZED;6.1;I
1259;"NICKEL CARBONYL
";6.1;I
1261;NITROMETHANE;3;II
1262;OCTANES;3;II
1263;PAINT INCLUDING PAINT, LACQUER, ENAMEL, STAIN, SHELLAC SOLUTIONS, VARNISH, POLISH, LIQUID FILLER, AND LIQUID LACQUER BASE;3;III
1263;PAINT INCLUDING PAINT, LACQUER, ENAMEL, STAIN, SHELLAC SOLUTIONS, VARNISH, POLISH, LIQUID FILLER, AND LIQUID LACQUER BASE;3;II
1263;PAINT INCLUDING PAINT, LACQUER, ENAMEL, STAIN, SHELLAC SOLUTIONS, VARNISH, POLISH, LIQUID FILLER, AND LIQUID LACQUER BASE;3;I
1263;PAINT RELATED MATERIAL INCLUDING PAINT THINNING, DRYING, REMOVING, OR REDUCING COMPOUND;3;III
1263;PAINT RELATED MATERIAL INCLUDING PAINT THINNING, DRYING, REMOVING, OR REDUCING COMPOUND;3;II
1263;PAINT RELATED MATERIAL INCLUDING PAINT THINNING, DRYING, REMOVING, OR REDUCING COMPOUND;3;I
1264;PARALDEHYDE;3;III
1265;PENTANES;3;I
1265;PENTANES;3;II
1266;PERFUMERY PRODUCTS WITH FLAMMABLE SOLVENTS;3;III
1266;PERFUMERY PRODUCTS WITH FLAMMABLE SOLVENTS;3;II
1267;PETROLEUM CRUDE OIL;3;III
1267;PETROLEUM CRUDE OIL;3;II
1267;PETROLEUM CRUDE OIL;3;I
1268;PETROLEUM DISTILLATES, N.O.S. OR  PETROLEUM PRODUCTS, N.O.S.;3;III
1268;PETROLEUM DISTILLATES, N.O.S. OR PETROLEUM PRODUCTS, N.O.S.;3;II
1268;PETROLEUM DISTILLATES, N.O.S. OR PETROLEUM PRODUCTS, N.O.S.;3;I
1268;PETROLEUM DISTILLATES, N.O.S. OR PETROLEUM PRODUCTS, N.O.S.;3;I
1270;PETROLEUM OIL;3;III
1270;PETROLEUM OIL;3;II
1270;PETROLEUM OIL;3;I
1272;PINE OIL;3;III
1274;N-PROPANOL OR PROPYL ALCOHOL, NORMAL;3;III
1274;N-PROPANOL OR PROPYL ALCOHOL, NORMAL;3;II
1275;PROPIONALDEHYDE;3;II
1276;N-PROPYL ACETATE;3;II
1277;PROPYLAMINE;3;II
1278;1-CHLOROPROPANE;3;II
1279;1,2-DICHLOROPROPANE;3;II
1280;PROPYLENE OXIDE;3;I
1281;PROPYL FORMATES;3;II
1282;PYRIDINE;3;II
1286;ROSIN OIL;3;III
1286;ROSIN OIL;3;II
1287;RUBBER SOLUTION;3;III
1287;RUBBER SOLUTION;3;II
1288;SHALE OIL;3;III
1288;SHALE OIL;3;I
1288;SHALE OIL;3;II
1289;SODIUM METHYLATE SOLUTIONS IN ALCOHOL;3;III
1289;SODIUM METHYLATE SOLUTIONS IN ALCOHOL;3;II
1292;TETRAETHYL SILICATE;3;III
1293;TINCTURES, MEDICINAL;3;III
1293;TINCTURES, MEDICINAL;3;II
1294;TOLUENE;3;II
1295;TRICHLOROSILANE;4.3;I
1296;TRIETHYLAMINE;3;II
1297;TRIMETHYLAMINE, AQUEOUS SOLUTIONS WITH NOT MORE THAN 50 PERCENT TRIMETHYLAMINE BY MASS;3;III
1297;TRIMETHYLAMINE, AQUEOUS SOLUTIONS WITH NOT MORE THAN 50 PERCENT TRIMETHYLAMINE BY MASS;3;II
1297;TRIMETHYLAMINE, AQUEOUS SOLUTIONS WITH NOT MORE THAN 50 PERCENT TRIMETHYLAMINE BY MASS;3;I
1298;TRIMETHYLCHLOROSILANE;3;II
1299;TURPENTINE;3;III
1300;TURPENTINE SUBSTITUTE;3;III
1300;TURPENTINE SUBSTITUTE;3;I
1300;TURPENTINE SUBSTITUTE;3;II
1301;VINYL ACETATE, STABILIZED;3;II
1302;VINYL ETHYL ETHER, STABILIZED;3;I
1303;VINYLIDENE CHLORIDE, STABILIZED;3;I
1304;VINYL ISOBUTYL ETHER, STABILIZED;3;II
1305;VINYLTRICHLOROSILANE;3;II
1306;WOOD PRESERVATIVES, LIQUID;3;III
1306;WOOD PRESERVATIVES, LIQUID;3;II
1307;XYLENES;3;III
1307;XYLENES;3;II
1308;ZIRCONIUM SUSPENDED IN A LIQUID;3;III
1308;ZIRCONIUM SUSPENDED IN A LIQUID;3;II
1308;ZIRCONIUM SUSPENDED IN A LIQUID;3;I
1309;ALUMINUM POWDER, COATED;4.1;III
1309;ALUMINUM POWDER, COATED;4.1;II
1310;AMMONIUM PICRATE, WETTED WITH NOT LESS THAN 10 PERCENT WATER, BY MASS;4.1;I
1312;BORNEOL;4.1;III
1313;CALCIUM RESINATE;4.1;III
1314;CALCIUM RESINATE, FUSED;4.1;III
1318;COBALT RESINATE, PRECIPITATED;4.1;III
1320;DINITROPHENOL, WETTED WITH NOT LESS THAN 15 PERCENT WATER, BY MASS;4.1;I
1321;DINITROPHENOLATES, WETTED WITH NOT LESS THAN 15 PERCENT WATER, BY MASS;4.1;I
1322;DINITRORESORCINOL, WETTED WITH NOT LESS THAN 15 PERCENT WATER, BY MASS;4.1;I
1323;FERROCERIUM;4.1;II
1324;FILMS, NITROCELLULOSE BASE, GELATINE COATED (EXCEPT SCRAP);4.1;III
1325;FUSEE (RAILWAY OR HIGHWAY);4.1;II
1325;FLAMMABLE SOLIDS, ORGANIC, N.O.S.;4.1;III
1325;FLAMMABLE SOLIDS, ORGANIC, N.O.S.;4.1;II
1326;"HAFNIUM POWDER, WETTED WITH NOT LESS THAN 25 PERCENT WATER (A VISIBLE EXCESS OF WATER MUST BE PRESENT) (A) MECHANICALLY PRODUCED, PARTICLE SIZE LESS THAN 53 MICRONS; (B) CHEMICALLY PRODUCED, PARTICLE SIZE LESS THAN 840 MICRONS";4.1;II
1328;HEXAMETHYLENETETRAMINE;4.1;III
1330;MANGANESE RESINATE;4.1;III
1331;MATCHES, STRIKE ANYWHERE;4.1;III
1332;METALDEHYDE;4.1;III
1333;CERIUM, SLABS, INGOTS, OR RODS;4.1;II
1334;NAPHTHALENE, CRUDE OR  NAPHTHALENE, REFINED;4.1;III
1336;NITROGUANIDINE, WETTED OR PICRITE, WETTED WITH NOT LESS THAN 20 PERCENT WATER, BY MASS;4.1;I
1337;NITROSTARCH, WETTED WITH NOT LESS THAN 20 PERCENT WATER, BY MASS;4.1;I
1338;PHOSPHORUS, AMORPHOUS;4.1;III
1339;PHOSPHORUS HEPTASULFIDE, FREE FROM YELLOW OR WHITE PHOSPHORUS;4.1;II
1340;PHOSPHORUS PENTASULFIDE, FREE FROM YELLOW OR WHITE PHOSPHORUS;4.3;II
1340;PHOSPHORUS PENTASULFIDE, FREE FROM YELLOW OR WHITE PHOSPHORUS;4.3;II
1341;PHOSPHORUS SESQUISULFIDE, FREE FROM YELLOW OR WHITE PHOSPHORUS;4.1;II
1343;PHOSPHORUS TRISULFIDE, FREE FROM YELLOW OR WHITE PHOSPHORUS;4.1;II
1344;TRINITROPHENOL, WETTED OR PICRIC ACID, WETTED WITH NOT LESS THAN 30 PERCENT WATER, BY MASS;4.1;I
1345;RUBBER SCRAP OR RUBBER SHODDY, POWDERED OR GRANULATED, NOT EXCEEDING 840 MICRONS AND RUBBER CONTENT EXCEEDING 45%;4.1;II
1346;SILICON POWDER, AMORPHOUS;4.1;III
1347;SILVER PICRATE, WETTED WITH NOT LESS THAN 30 PERCENT WATER, BY MASS;4.1;I
1348;SODIUM DINITRO-O-CRESOLATE, WETTED WITH NOT LESS THAN 15 PERCENT WATER, BY MASS;4.1;I
1349;SODIUM PICRAMATE, WETTED WITH NOT LESS THAN 20 PERCENT WATER, BY MASS;4.1;I
1350;SULFUR;9;III
1350;SULFUR;4.1;III
1352;"TITANIUM POWDER, WETTED WITH NOT LESS THAN 25 PERCENT WATER (A VISIBLE EXCESS OF WATER MUST BE PRESENT) (A) MECHANICALLY PRODUCED, PARTICLE SIZE LESS THAN 53 MICRONS; (B) CHEMICALLY PRODUCED, PARTICLE SIZE LESS THAN 840 MICRONS";4.1;II
1353;FIBERS OR   FABRICS IMPREGNATED WITH WEAKLY NITRATED NITROCELLULOSE, N.O.S.;4.1;III
1354;TRINITROBENZENE, WETTED WITH NOT LESS THAN 30 PERCENT WATER, BY MASS;4.1;I
1355;TRINITROBENZOIC ACID, WETTED WITH NOT LESS THAN 30 PERCENT WATER, BY MASS;4.1;I
1356;TRINITROTOLUENE, WETTED OR TNT, WETTED WITH NOT LESS THAN 30 PERCENT WATER, BY MASS;4.1;I
1357;UREA NITRATE, WETTED WITH NOT LESS THAN 20 PERCENT WATER, BY MASS;4.1;I
1358;"ZIRCONIUM POWDER, WETTED WITH NOT LESS THAN 25 PERCENT WATER (A VISIBLE EXCESS OF WATER MUST BE PRESENT) (A) MECHANICALLY PRODUCED, PARTICLE SIZE LESS THAN 53 MICRONS; (B) CHEMICALLY PRODUCED, PARTICLE SIZE LESS THAN 840 MICRONS";4.1;II
1360;CALCIUM PHOSPHIDE;4.3;I
1361;CHARCOAL BRIQUETTES, SHELL, SCREENINGS, WOOD, ETC.;4.2;III
1361;CARBON, ANIMAL OR VEGETABLE ORIGIN;4.2;III
1361;CARBON, ANIMAL OR VEGETABLE ORIGIN;4.2;II
1362;CARBON, ACTIVATED;4.2;III
1363;COPRA;4.2;III
1364;COTTON WASTE, OILY;4.2;III
1365;COTTON;9;
1365;COTTON, WET;4.2;III
1369;P-NITROSODIMETHYLANILINE;4.2;II
1372;FIBERS, ANIMAL OR FIBERS, VEGETABLE BURNT, WET OR DAMP;4.2;III
1373;FIBERS  OR  FABRICS, ANIMAL  OR  VEGETABLE OR  SYNTHETIC, N.O.S. WITH ANIMAL OR VEGETABLE OIL;4.2;III
1374;FISH MEAL, UNSTABLIZED  OR FISH SCRAP, UNSTABILIZED;4.2;II
1376;IRON OXIDE, SPENT,  OR  IRON SPONGE, SPENT OBTAINED FROM COAL GAS PURIFICATION;4.2;III
1378;METAL CATALYST, WETTED WITH A VISIBLE EXCESS OF LIQUID;4.2;II
1379;PAPER, UNSATURATED OIL TREATED INCOMPLETELY DRIED (INCLUDING CARBON PAPER);4.2;III
1380;PENTABORANE;4.2;I
1381;PHOSPHORUS, WHITE DRY OR PHOSPHORUS, WHITE, UNDER WATER OR PHOSPHORUS WHITE, IN SOLUTION OR PHOSPHORUS, YELLOW DRY OR PHOSPHORUS, YELLOW, UNDER WATER OR  PHOSPHORUS, YELLOW, IN SOLUTION;4.2;I
1382;POTASSIUM SULFIDE, ANHYDROUS OR POTASSIUM SULFIDE WITH LESS THAN 30 PERCENT WATER OF CRYSTALLIZATION;4.2;II
1383;PYROPHORIC METALS, N.O.S., OR PYROPHORIC ALLOYS, N.O.S.;4.2;I
1384;SODIUM DITHIONITE OR SODIUM HYDROSULFITE;4.2;II
1385;SODIUM SULFIDE, ANHYDROUS  OR  SODIUM SULFIDE WITH LESS THAN 30 PERCENT WATER OF CRYSTALLIZATION;4.2;II
1386;SEED CAKE WITH MORE THAN 1.5 PERCENT OIL AND NOT MORE THAN 11 PERCENT MOISTURE;4.2;III
1386;SEED CAKE, CONTAINING VEGETABLE OIL SOLVENT EXTRACTIONS AND EXPELLED SEEDS, WITH NOT MORE THAN 10 PERCENT OF OIL AND WHEN THE AMOUNT OF MOISTURE IS HIGHER THAN 11 PERCENT, WITH NOT MORE THAN 20 PERCENT OF OIL AND MOISTURE COMBINED;4.2;III
1387;WOOL WASTE, WET;4.2;III
1389;ALKALI METAL AMALGAM, LIQUID;4.3;I
1390;ALKALI METAL AMIDES;4.3;II
1391;ALKALI METAL DISPERSIONS,  OR   ALKALINE EARTH METAL DISPERSIONS;4.3;I
1392;ALKALINE EARTH METAL AMALGAMS, LIQUID;4.3;I
